species	segmented_path
Aesculus flava	dataset/segmented/field/aesculus_flava/1249580532_0000.png
Aesculus flava	dataset/segmented/field/aesculus_flava/1249580532_0001.png
Aesculus flava	dataset/segmented/field/aesculus_flava/1249580532_0002.png
Aesculus flava	dataset/segmented/field/aesculus_flava/1249580532_0003.png
Aesculus flava	dataset/segmented/field/aesculus_flava/1249580532_0004.png
Aesculus flava	dataset/segmented/field/aesculus_flava/1252646308_0000.png
Aesculus flava	dataset/segmented/field/aesculus_flava/1252646308_0001.png
Aesculus flava	dataset/segmented/field/aesculus_flava/1252646308_0002.png
Aesculus flava	dataset/segmented/field/aesculus_flava/1252646308_0003.png
Aesculus flava	dataset/segmented/field/aesculus_flava/1252646308_0004.png
Aesculus flava	dataset/segmented/field/aesculus_flava/1259118878_0023.png
Aesculus flava	dataset/segmented/field/aesculus_flava/1259118878_0025.png
Aesculus flava	dataset/segmented/field/aesculus_flava/1259118878_0050.png
Aesculus flava	dataset/segmented/field/aesculus_flava/1259118878_0059.png
Aesculus flava	dataset/segmented/field/aesculus_flava/1259118878_0106.png
Aesculus flava	dataset/segmented/lab/aesculus_flava/wb1118-01-1.png
Aesculus flava	dataset/segmented/lab/aesculus_flava/wb1118-01-2.png
Aesculus flava	dataset/segmented/lab/aesculus_flava/wb1118-01-3.png
Aesculus flava	dataset/segmented/lab/aesculus_flava/wb1118-01-4.png
Aesculus flava	dataset/segmented/lab/aesculus_flava/wb1118-02-1.png
Aesculus flava	dataset/segmented/lab/aesculus_flava/wb1118-02-2.png
Aesculus flava	dataset/segmented/lab/aesculus_flava/wb1118-02-3.png
Aesculus flava	dataset/segmented/lab/aesculus_flava/wb1118-02-4.png
Aesculus flava	dataset/segmented/lab/aesculus_flava/wb1118-03-1.png
Aesculus flava	dataset/segmented/lab/aesculus_flava/wb1118-03-2.png
Aesculus flava	dataset/segmented/lab/aesculus_flava/wb1118-03-3.png
Aesculus flava	dataset/segmented/lab/aesculus_flava/wb1118-03-4.png
Aesculus flava	dataset/segmented/lab/aesculus_flava/wb1118-04-1.png
Aesculus flava	dataset/segmented/lab/aesculus_flava/wb1118-04-2.png
Aesculus flava	dataset/segmented/lab/aesculus_flava/wb1118-04-3.png
Aesculus flava	dataset/segmented/lab/aesculus_flava/wb1118-04-4.png
Aesculus flava	dataset/segmented/lab/aesculus_flava/wb1118-05-1.png
Aesculus flava	dataset/segmented/lab/aesculus_flava/wb1118-05-2.png
Aesculus flava	dataset/segmented/lab/aesculus_flava/wb1118-05-3.png
Aesculus flava	dataset/segmented/lab/aesculus_flava/wb1118-05-4.png
Aesculus flava	dataset/segmented/lab/aesculus_flava/wb1118-06-1.png
Aesculus flava	dataset/segmented/lab/aesculus_flava/wb1118-06-2.png
Aesculus flava	dataset/segmented/lab/aesculus_flava/wb1118-06-3.png
Aesculus flava	dataset/segmented/lab/aesculus_flava/wb1118-06-4.png
Aesculus flava	dataset/segmented/lab/aesculus_flava/wb1118-07-1.png
Aesculus flava	dataset/segmented/lab/aesculus_flava/wb1118-07-2.png
Aesculus flava	dataset/segmented/lab/aesculus_flava/wb1118-07-3.png
Aesculus flava	dataset/segmented/lab/aesculus_flava/wb1118-07-4.png
Aesculus flava	dataset/segmented/lab/aesculus_flava/wb1118-08-1.png
Aesculus flava	dataset/segmented/lab/aesculus_flava/wb1118-08-2.png
Aesculus flava	dataset/segmented/lab/aesculus_flava/wb1118-08-3.png
Aesculus flava	dataset/segmented/lab/aesculus_flava/wb1118-08-4.png
Aesculus flava	dataset/segmented/lab/aesculus_flava/wb1118-09-1.png
Aesculus flava	dataset/segmented/lab/aesculus_flava/wb1118-09-2.png
