file_id	image_path	segmented_path	species	source
55497	dataset/images/lab/abies_concolor/ny1157-01-1.jpg	dataset/segmented/lab/abies_concolor/ny1157-01-1.png	Abies concolor	lab
55498	dataset/images/lab/abies_concolor/ny1157-01-2.jpg	dataset/segmented/lab/abies_concolor/ny1157-01-2.png	Abies concolor	lab
55499	dataset/images/lab/abies_concolor/ny1157-01-3.jpg	dataset/segmented/lab/abies_concolor/ny1157-01-3.png	Abies concolor	lab
55500	dataset/images/lab/abies_concolor/ny1157-01-4.jpg	dataset/segmented/lab/abies_concolor/ny1157-01-4.png	Abies concolor	lab
55501	dataset/images/lab/abies_concolor/ny1157-02-1.jpg	dataset/segmented/lab/abies_concolor/ny1157-02-1.png	Abies concolor	lab
55502	dataset/images/lab/abies_concolor/ny1157-02-2.jpg	dataset/segmented/lab/abies_concolor/ny1157-02-2.png	Abies concolor	lab
55503	dataset/images/lab/abies_concolor/ny1157-02-3.jpg	dataset/segmented/lab/abies_concolor/ny1157-02-3.png	Abies concolor	lab
55504	dataset/images/lab/abies_concolor/ny1157-02-4.jpg	dataset/segmented/lab/abies_concolor/ny1157-02-4.png	Abies concolor	lab
55505	dataset/images/lab/abies_concolor/ny1157-03-1.jpg	dataset/segmented/lab/abies_concolor/ny1157-03-1.png	Abies concolor	lab
55506	dataset/images/lab/abies_concolor/ny1157-03-2.jpg	dataset/segmented/lab/abies_concolor/ny1157-03-2.png	Abies concolor	lab
55507	dataset/images/lab/abies_concolor/ny1157-03-3.jpg	dataset/segmented/lab/abies_concolor/ny1157-03-3.png	Abies concolor	lab
55508	dataset/images/lab/abies_concolor/ny1157-03-4.jpg	dataset/segmented/lab/abies_concolor/ny1157-03-4.png	Abies concolor	lab
55509	dataset/images/lab/abies_concolor/ny1157-04-1.jpg	dataset/segmented/lab/abies_concolor/ny1157-04-1.png	Abies concolor	lab
55510	dataset/images/lab/abies_concolor/ny1157-04-2.jpg	dataset/segmented/lab/abies_concolor/ny1157-04-2.png	Abies concolor	lab
55511	dataset/images/lab/abies_concolor/ny1157-04-3.jpg	dataset/segmented/lab/abies_concolor/ny1157-04-3.png	Abies concolor	lab
55512	dataset/images/lab/abies_concolor/ny1157-04-4.jpg	dataset/segmented/lab/abies_concolor/ny1157-04-4.png	Abies concolor	lab
55513	dataset/images/lab/abies_concolor/ny1157-05-1.jpg	dataset/segmented/lab/abies_concolor/ny1157-05-1.png	Abies concolor	lab
55514	dataset/images/lab/abies_concolor/ny1157-05-2.jpg	dataset/segmented/lab/abies_concolor/ny1157-05-2.png	Abies concolor	lab
55515	dataset/images/lab/abies_concolor/ny1157-05-3.jpg	dataset/segmented/lab/abies_concolor/ny1157-05-3.png	Abies concolor	lab
55516	dataset/images/lab/abies_concolor/ny1157-05-4.jpg	dataset/segmented/lab/abies_concolor/ny1157-05-4.png	Abies concolor	lab
55517	dataset/images/lab/abies_concolor/ny1157-06-1.jpg	dataset/segmented/lab/abies_concolor/ny1157-06-1.png	Abies concolor	lab
55518	dataset/images/lab/abies_concolor/ny1157-06-2.jpg	dataset/segmented/lab/abies_concolor/ny1157-06-2.png	Abies concolor	lab
55519	dataset/images/lab/abies_concolor/ny1157-06-3.jpg	dataset/segmented/lab/abies_concolor/ny1157-06-3.png	Abies concolor	lab
55520	dataset/images/lab/abies_concolor/ny1157-06-4.jpg	dataset/segmented/lab/abies_concolor/ny1157-06-4.png	Abies concolor	lab
55521	dataset/images/lab/abies_concolor/ny1157-07-1.jpg	dataset/segmented/lab/abies_concolor/ny1157-07-1.png	Abies concolor	lab
55522	dataset/images/lab/abies_concolor/ny1157-07-2.jpg	dataset/segmented/lab/abies_concolor/ny1157-07-2.png	Abies concolor	lab
55523	dataset/images/lab/abies_concolor/ny1157-07-3.jpg	dataset/segmented/lab/abies_concolor/ny1157-07-3.png	Abies concolor	lab
55524	dataset/images/lab/abies_concolor/ny1157-07-4.jpg	dataset/segmented/lab/abies_concolor/ny1157-07-4.png	Abies concolor	lab
55525	dataset/images/lab/abies_concolor/ny1157-08-1.jpg	dataset/segmented/lab/abies_concolor/ny1157-08-1.png	Abies concolor	lab
55526	dataset/images/lab/abies_concolor/ny1157-08-2.jpg	dataset/segmented/lab/abies_concolor/ny1157-08-2.png	Abies concolor	lab
55527	dataset/images/lab/abies_concolor/ny1157-08-3.jpg	dataset/segmented/lab/abies_concolor/ny1157-08-3.png	Abies concolor	lab
55528	dataset/images/lab/abies_concolor/ny1157-08-4.jpg	dataset/segmented/lab/abies_concolor/ny1157-08-4.png	Abies concolor	lab
55529	dataset/images/lab/abies_concolor/ny1157-09-1.jpg	dataset/segmented/lab/abies_concolor/ny1157-09-1.png	Abies concolor	lab
55530	dataset/images/lab/abies_concolor/ny1157-09-2.jpg	dataset/segmented/lab/abies_concolor/ny1157-09-2.png	Abies concolor	lab
55531	dataset/images/lab/abies_concolor/ny1157-09-3.jpg	dataset/segmented/lab/abies_concolor/ny1157-09-3.png	Abies concolor	lab
